timestamp,datetime_utc,xrp_spread,bch_spread
1644249600000,2022-02-07T16:00:00+00:00,8834.63690413098,-985.8074124933555
1644253200000,2022-02-07T17:00:00+00:00,8958.480072063314,-829.0545416090463
1644256800000,2022-02-07T18:00:00+00:00,9024.272890710577,-533.6321864599158
1644260400000,2022-02-07T19:00:00+00:00,9000.319737258455,-765.3291639696981
1644264000000,2022-02-07T20:00:00+00:00,8905.578456665113,-485.31436160754674
1644267600000,2022-02-07T21:00:00+00:00,8273.91621333146,-944.326142854894
1644271200000,2022-02-07T22:00:00+00:00,7193.528998075046,-1294.7019725611244
1644274800000,2022-02-07T23:00:00+00:00,6683.194840208322,-1621.0799178729649
1644278400000,2022-02-08T00:00:00+00:00,6953.227771869861,-1966.3811252185405
1644282000000,2022-02-08T01:00:00+00:00,5238.315019619302,-2166.4421511871915
1644285600000,2022-02-08T02:00:00+00:00,5518.694973707068,-2267.6451723019854
1644289200000,2022-02-08T03:00:00+00:00,5167.916128572251,-2220.8442654173778
1644292800000,2022-02-08T04:00:00+00:00,5290.669943158187,-1753.6880729573095
1644296400000,2022-02-08T05:00:00+00:00,4747.220388505681,-1826.208010664428
1644300000000,2022-02-08T06:00:00+00:00,5030.791428590273,-1453.5557462037614
1644303600000,2022-02-08T07:00:00+00:00,4794.160501519953,-1121.2533301371877
1644307200000,2022-02-08T08:00:00+00:00,5979.782226399802,-464.9512200332829
1644310800000,2022-02-08T09:00:00+00:00,5383.890905898508,-431.19381885220355
1644314400000,2022-02-08T10:00:00+00:00,5403.458928501357,-338.8696499338621
1644318000000,2022-02-08T11:00:00+00:00,5583.853693113728,-263.7847555078333
1644321600000,2022-02-08T12:00:00+00:00,5641.886800653621,-371.63853327675315
1644325200000,2022-02-08T13:00:00+00:00,5713.465294031732,-378.51224875279877
1644328800000,2022-02-08T14:00:00+00:00,6162.992270545728,-79.46783891550149
1644332400000,2022-02-08T15:00:00+00:00,6175.261188786855,-365.65333701432246
1644336000000,2022-02-08T16:00:00+00:00,6774.419209623389,-485.373277472303
1644339600000,2022-02-08T17:00:00+00:00,6509.5037167751725,-584.9092290134286
1644343200000,2022-02-08T18:00:00+00:00,6513.306947571582,-596.3929147184535
1644346800000,2022-02-08T19:00:00+00:00,6585.783494984586,-747.2158749158043
1644350400000,2022-02-08T20:00:00+00:00,6191.525122391344,-80.93732318031834
1644354000000,2022-02-08T21:00:00+00:00,6455.103850273925,-154.50892442617624
1644357600000,2022-02-08T22:00:00+00:00,5559.168620890567,-293.96421137706784
1644361200000,2022-02-08T23:00:00+00:00,4886.765038337464,-410.6152684921544
1644364800000,2022-02-09T00:00:00+00:00,5047.274730726676,-122.34185485250782
